Player,Draft pick,Height (No Shoes),Wingspan,Standing reach,Vertical (Max),Weight,Body Fat,Hand (Width),Bench,Agility,Sprint
Patrick Mills,55.0,71.25,74.0,95.0,33.0,175.0,6.9,,8.0,10.87,3.1
Marcus Paige,55.0,72.5,78.25,97.0,39.5,164.0,4.3,8.75,,10.82,3.15
Devyn Marble,56.0,77.0,81.0,102.0,35.0,192.0,6.9,8.5,,11.32,3.28
Branden Dawson,56.0,77.5,83.0,105.0,34.5,230.0,5.8,8.75,12.0,12.37,3.2
Daniel Hamilton,56.0,78.25,81.0,103.5,29.0,197.0,6.0,8.5,,11.48,3.4
Peyton Siva,56.0,71.5,75.0,93.0,41.5,181.0,6.1,9.75,15.0,10.59,3.16
Robbie Hummel,58.0,79.25,80.5,102.0,30.0,218.0,9.4,9.5,13.0,11.56,3.41
Jordan McRae,58.0,75.75,84.5,104.0,34.5,179.0,5.2,8.5,,11.07,3.39
Derrick Caracter,58.0,80.25,84.25,107.25,30.5,280.0,12.8,10.25,22.0,12.78,3.61
J.P. Tokoto,58.0,77.25,82.0,100.5,40.0,196.0,4.1,8.75,12.0,11.01,3.27
Deshaun Thomas,58.0,77.0,82.0,104.0,32.0,220.0,9.1,8.75,5.0,12.94,3.53
Jaron Blossomgame,59.0,78.25,82.0,102.0,41.0,214.0,5.3,10.0,,11.53,3.2
Xavier Thames,59.0,74.25,76.0,96.0,32.5,187.0,6.4,9.0,,11.48,3.48
Marcus Denmon,59.0,74.25,77.0,94.5,40.0,188.0,6.6,9.75,8.0,10.82,3.19
Stanley Robinson,59.0,78.5,84.0,107.5,37.5,213.0,8.3,9.0,6.0,11.65,3.23
Isaiah Cousins,59.0,75.25,78.25,98.5,37.0,194.0,4.8,8.75,,10.79,3.24
Isaiah Thomas,60.0,68.75,73.75,91.5,40.0,186.0,6.7,9.0,13.0,10.49,3.14
Cory Jefferson,60.0,79.75,84.5,105.0,37.5,218.0,5.3,9.75,,12.63,3.36
Dionte Christmas,,76.25,81.0,102.5,33.5,211.0,7.1,,3.0,10.83,3.21
Jeff Adrien,,77.25,86.0,107.5,31.5,236.0,7.9,,16.0,11.34,3.32
Jerel McNeal,,73.5,79.25,99.5,36.5,190.0,5.4,,10.0,10.61,3.25
Joe Ingles,,79.75,82.25,105.0,31.0,209.0,10.1,,3.0,10.66,3.3
Josh Heytvelt,,82.0,85.25,108.0,34.0,246.0,10.8,,15.0,11.67,3.38
Tyler Smith,,77.25,81.75,104.5,33.5,212.0,7.0,,10.0,10.69,3.24
Artsiom Parakhouski,,82.25,85.0,109.5,26.5,268.0,6.0,10.5,16.0,12.07,3.33
Charles Garcia,,80.25,85.75,107.5,30.5,232.0,7.0,9.0,2.0,11.65,3.23
Jon Scheyer,,76.75,75.25,99.0,,180.0,5.4,9.5,,,
Manny Harris,,76.0,79.25,102.0,,185.0,3.8,9.0,11.0,,
Mikhail Torrance,,76.0,78.75,101.75,32.0,207.0,,9.5,8.0,11.43,3.17
Sherron Collins,,70.25,74.5,94.0,33.0,217.0,9.2,9.5,,12.31,3.24
Sylven Landesberg,,76.75,81.0,100.5,32.0,210.0,11.6,10.75,8.0,11.59,3.36
David Lighty,,76.75,80.0,101.0,33.0,216.0,6.5,10.0,15.0,10.81,3.25
Demetri McCamey,,73.75,78.25,99.5,33.0,204.0,6.1,9.0,,11.55,3.19
Greg Smith,,80.0,86.5,106.5,36.0,253.0,7.4,12.0,17.0,12.43,3.36
Jamie Skeen,,78.5,85.25,106.5,30.5,242.0,9.8,8.5,10.0,12.43,3.46
Jereme Richmond,,78.0,82.25,106.5,33.5,207.0,5.5,9.5,,11.74,3.02
LaceDarius Dunn,,75.0,78.25,101.0,31.0,188.0,5.5,10.25,3.0,11.45,3.27
Malcolm Thomas,,79.5,84.5,107.5,36.5,223.0,5.9,10.5,5.0,11.31,3.29
Michael Dunigan,,80.5,87.25,107.5,34.5,238.0,8.0,10.75,10.0,11.85,3.27
Rick Jackson,,80.25,86.0,106.5,33.0,242.0,8.3,9.5,9.0,11.51,3.26
Scotty Hopson,,77.75,82.5,103.5,36.0,205.0,4.8,10.0,10.0,10.47,3.18
Drew Gordon,,80.0,83.5,103.5,34.0,239.0,9.1,9.75,10.0,11.35,3.49
Henry Sims,,82.0,88.0,108.0,29.5,241.0,7.7,10.0,7.0,12.33,3.44
Hollis Thompson,,78.75,81.5,102.5,36.5,206.0,6.0,9.75,6.0,11.72,3.38
J'Covan Brown,,73.0,77.25,96.0,29.5,202.0,12.5,8.25,3.0,11.68,3.47
